1553313600,8557938
1553400000,5022486
1553486400,6807882
1553572800,5674578
1553659200,4947394
1553745600,9204078
1553832000,1653189
1553918400,1666663
1554004800,4337821
1554091200,6161689
1554264000,2201284
1554350400,365600
1554609600,7951444
1554696000,182693
1555041600,2596554
1555300800,182693
1555473600,1598999
1556683200,1096040
1556769600,3778300
1556942400,332973
1557201600,825079
1558065600,694400
1558152000,1552423
1558670400,19226
1559275200,407046
1559534400,394195
1559620800,6696466
1559707200,3097216
1559793600,11630430
1559880000,2299836
1559966400,211520
1560225600,211520
1561003200,238353
